time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2.632082,-0.03540039,0.02441406,0.8190918,-0.147166483,-0.005553389,-0.076815919
2.64142,-0.0300293,0.01782227,0.8137207,0.112375517,-0.036087389,-0.061548819
2.650739,-0.0324707,0.02319336,0.8173828,-0.124265483,-0.219293389,0.091122981
2.660023,-0.03393555,0.02319336,0.8232422,0.150543517,-0.219293389,-0.038648019
2.669323,-0.02416992,0.02734375,0.8161621,0.028405517,0.093683611,0.045321481
2.678754,-0.03564453,0.02270508,0.8220215,0.066573517,-0.226927389,0.014787081
2.688121,-0.04077148,0.01928711,0.8208008,-0.025029483,0.009713611,0.030054281
2.697393,-0.03540039,0.02368164,0.8112793,-0.101365483,-0.043721389,-0.114983919
2.720755,-0.03393555,0.02270508,0.8193359,-0.086097483,0.002080611,-0.000480119
2.730446,-0.03125,0.02514648,0.8156738,-0.101365483,-0.089522389,-0.183686219
2.739894,-0.03369141,0.02734375,0.8222656,0.013138517,-0.066621389,0.083489381
2.749228,-0.02978516,0.02514648,0.8161621,-0.017395483,0.353225511,0.030054281
2.758546,-0.02832031,0.02441406,0.8215332,0.234512817,0.208187311,0.167458781
2.767887,-0.03637695,0.03125,0.8251953,-0.047929483,-0.089522389,-0.061548819
2.777242,-0.0300293,0.03393555,0.8261719,0.150543517,0.101316611,0.167458781
2.786562,-0.03320313,0.02563477,0.817627,0.074207517,-0.127690389,-0.031014419
2.795847,-0.03027344,0.03149414,0.8186035,-0.055563483,-0.005553389,-0.099716719
2.805243,-0.03295898,0.02490234,0.8295898,0.051306517,0.154752211,-0.137884719
2.828728,-0.03710938,0.02319336,0.8166504,-0.177700483,0.147118611,0.075855781
2.838404,-0.03686523,0.02294922,0.8200684,0.066573517,0.047881611,0.121657281
2.847803,-0.03027344,0.02172852,0.8195801,-0.108998483,0.047881611,0.045321481
2.857166,-0.03027344,0.02050781,0.8186035,0.005505517,0.002080611,0.007153481
2.866519,-0.03442383,0.02441406,0.8220215,0.150543517,0.292156811,0.114023681
2.875803,-0.03271484,0.01586914,0.822998,0.005505517,0.231088111,0.091122981
2.885188,-0.03466797,0.02783203,0.8139648,-0.040296483,-0.249828389,0.037687881
2.894515,-0.02734375,0.02075195,0.8222656,0.036039517,0.009713611,0.091122981
2.903832,-0.03198242,0.02099609,0.8220215,0.219245617,-0.036087389,-0.023380919
2.913208,-0.0300293,0.0222168,0.8186035,0.036039517,-0.165858389,-0.038648019
2.936822,-0.0324707,0.02490234,0.8132324,-0.231136483,0.215820911,-0.130251019
2.946458,-0.03344727,0.02490234,0.8166504,-0.147166483,0.040248611,-0.000480119
2.955936,-0.03540039,0.02539063,0.8220215,0.013138517,0.032614611,-0.008113719
2.965286,-0.03173828,0.02392578,0.8178711,-0.116632483,0.231088111,0.075855781
2.974659,-0.02978516,0.02416992,0.8205566,-0.215868483,-0.104789389,0.045321481
2.983977,-0.02905273,0.02661133,0.8203125,0.058940517,0.154752211,0.098756481
2.993335,-0.03417969,0.02001953,0.8249512,0.104741517,0.070782611,0.098756481
3.002672,-0.02954102,0.02636719,0.8110352,-0.139533483,-0.150591389,-0.038648019
3.011986,-0.03198242,0.02246094,0.8154297,0.028405517,0.040248611,-0.076815919
